Feature,Coefficient,Magnitude
avg_distance_clutch,-0.004223448800539384,0.004223448800539384
mid_range_shots,0.0041998709072517335,0.0041998709072517335
ROLLING_mid_range_shots,0.004199870907250217,0.004199870907250217
assists,-0.004017434289660282,0.004017434289660282
threePointersMade,-0.0037155406859284354,0.0037155406859284354
ROLLING_blocks,0.0036621406490855643,0.0036621406490855643
usagePercentage,-0.003512349728629526,0.003512349728629526
threePointersAttempted,-0.003429644835882272,0.003429644835882272
BLK,0.0033877260468307725,0.0033877260468307725
mid_range_shots_clutch,-0.003382817742309918,0.003382817742309918
FGM,0.002802289543796438,0.002802289543796438
points,0.002749663435809152,0.002749663435809152
foulsPersonal,-0.002731715587048161,0.002731715587048161
blocks,-0.002545765218414431,0.002545765218414431
ROLLING_plusMinusPoints,-0.002299514763162744,0.002299514763162744
avg_distance,0.0021774722611397276,0.0021774722611397276
ROLLING_avg_distance,0.002177472261139648,0.002177472261139648
fg_pct,0.002151607308013871,0.002151607308013871
ROLLING_fg_pct,0.0021516073080111754,0.0021516073080111754
reboundsOffensive,0.002109063547036688,0.002109063547036688
ROLLING_fieldGoalsPercentage,-0.001991865393798641,0.001991865393798641
ROLLING_freeThrowsPercentage,-0.001984073814861916,0.001984073814861916
ROLLING_PTS,-0.0019709917744469164,0.0019709917744469164
position_encoded,0.001953654766645295,0.001953654766645295
turnovers,0.0017874923139578024,0.0017874923139578024
ROLLING_total_shots,-0.001422545639386005,0.001422545639386005
total_shots,-0.0014225456393834601,0.0014225456393834601
steals,0.0014187106539239533,0.0014187106539239533
ROLLING_reboundsOffensive,-0.0012907795290734575,0.0012907795290734575
PTS,0.0012370770549184479,0.0012370770549184479
ROLLING_AST,0.0011791810723646972,0.0011791810723646972
ROLLING_steals,-0.0011652511607385917,0.0011652511607385917
opposing_team_numeric,-0.001095007151188045,0.001095007151188045
ROLLING_reboundsDefensive,0.0008037881145513404,0.0008037881145513404
FT_PCT,0.0007211340882752326,0.0007211340882752326
reboundsDefensive,-0.0007094822313459537,0.0007094822313459537
ROLLING_turnovers,-0.00043708601987347585,0.00043708601987347585
TEAM_ID,-0.00042163065816515355,0.00042163065816515355
ROLLING_assists,-0.00032892956607610303,0.00032892956607610303
days_since,0.0003283693798800478,0.0003283693798800478
minutes,0.0002984984547410785,0.0002984984547410785
reboundsTotal,0.00022008507849767545,0.00022008507849767545
ROLLING_reboundsTotal,0.0001921585640882531,0.0001921585640882531
PLAYER_ID,-1.5466250262375475e-09,1.5466250262375475e-09
GAME_ID,5.410893694907104e-11,5.410893694907104e-11
GAME_ID_game,-1.8880730312531568e-14,1.8880730312531568e-14
SEASON_ID,9.367506770274758e-17,9.367506770274758e-17
